model,rank,parameters,vocabulary_size,context,speed,generative_type,commercial,merge,norec,norne_nb,norne_nn,scala_nb,scala_nn,norquad,norec_version,norne_nb_version,norne_nn_version,scala_nb_version,scala_nn_version,norquad_version
timpal0l/Mistral-7B-v0.1-flashback-v2 (few-shot),2.74,7241732096.0,32000.0,32768,5053.68,📝,✓,✗,49.05 ± 2.73 / 63.94 ± 2.42@@49.047775356954745,48.97 ± 2.42 / 39.15 ± 2.78@@48.96614723552107,51.52 ± 2.96 / 40.17 ± 3.62@@51.51657538159732,14.37 ± 2.18 / 47.80 ± 4.36@@14.36502082512565,9.96 ± 1.34 / 48.97 ± 3.77@@9.956318122352432,68.49 ± 2.97 / 44.07 ± 3.40@@68.48814093805134,12.5.3@@120503,12.5.3@@120503,12.5.3@@120503,12.5.3@@120503,12.5.3@@120503,12.5.3@@120503
meta-llama/Llama-3.1-8B-Instruct (few-shot),2.74,8030261248.0,128256.0,131072,1478.39,📝,✓,✗,35.15 ± 0.39 / 38.06 ± 0.26@@35.154324384044166,64.59 ± 1.73 / 56.74 ± 2.46@@64.58962231183001,66.35 ± 1.33 / 59.93 ± 3.33@@66.35341911331676,27.53 ± 2.14 / 55.39 ± 1.95@@27.52929070053531,14.98 ± 1.98 / 45.84 ± 2.18@@14.982407409352257,69.75 ± 1.62 / 43.16 ± 2.25@@69.75331028987688,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
meta-llama/Meta-Llama-3-8B (few-shot),2.75,8030261248.0,128256.0,8192,1476.79,🧠,✓,✗,33.07 ± 0.73 / 37.60 ± 0.49@@33.068481238924676,62.89 ± 2.01 / 50.34 ± 1.92@@62.894977418970235,56.18 ± 3.26 / 47.30 ± 2.62@@56.17911929745587,30.73 ± 3.19 / 64.06 ± 2.41@@30.732613729916437,20.57 ± 3.62 / 54.22 ± 5.15@@20.5705685263736,72.56 ± 4.39 / 50.65 ± 5.64@@72.5584756834881,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.3.0@@140300
KBLab/bert-base-swedish-cased,2.75,124690944.0,50325.0,512,16164.04,🔍,✓,✗,38.17 ± 2.21 / 50.44 ± 3.11@@38.17321968209512,85.33 ± 1.01 / 82.13 ± 1.28@@85.32664800680377,79.44 ± 1.66 / 75.74 ± 1.96@@79.43879170023162,39.49 ± 3.36 / 68.13 ± 2.13@@39.48967622528245,22.17 ± 7.22 / 60.16 ± 3.80@@22.17441086058369,27.73 ± 6.70 / 19.04 ± 4.63@@27.730606235696534,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"birgermoell/Munin-NeuralBeagle-NorskGPT (few-shot, val)",2.77,7241732096.0,32000.0,4096,1430.07,🧠,✗,✓,37.50 ± 2.23 / 38.18 ± 1.58@@37.502243968724756,61.85 ± 2.26 / 48.80 ± 3.58@@61.85181084443243,66.98 ± 3.39 / 49.17 ± 3.03@@66.98151745060169,23.37 ± 2.58 / 49.63 ± 4.10@@23.370517190571498,10.58 ± 3.71 / 43.43 ± 3.27@@10.584491629416418,69.41 ± 3.39 / 43.09 ± 5.25@@69.40869622415546,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"timpal0l/BeagleCatMunin2 (few-shot, val)",2.77,7241732096.0,32000.0,4096,1430.64,🧠,✗,✓,39.45 ± 2.14 / 38.64 ± 1.74@@39.449081983546094,60.21 ± 2.65 / 51.42 ± 3.19@@60.20934853642873,65.67 ± 3.80 / 52.48 ± 3.40@@65.67196303424984,21.02 ± 3.96 / 45.88 ± 4.96@@21.021756269016727,6.10 ± 4.34 / 37.56 ± 2.88@@6.104681676754688,67.97 ± 3.62 / 42.28 ± 4.68@@67.96784436279574,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
upstage/SOLAR-10.7B-v1.0 (few-shot),2.77,10731524096.0,32000.0,4096,929.16,🧠,✓,✗,35.57 ± 0.64 / 38.57 ± 0.42@@35.573825248674616,68.29 ± 1.03 / 56.27 ± 2.44@@68.29155709911674,67.07 ± 1.09 / 55.67 ± 2.96@@67.06832251599133,10.56 ± 3.23 / 36.38 ± 1.19@@10.557153068914324,6.27 ± 2.83 / 35.20 ± 1.12@@6.268299082322779,78.25 ± 2.85 / 52.91 ± 4.06@@78.2492255648526,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
"birgermoell/WestLake-Munin-Cat-NorskGPT (few-shot, val)",2.77,7241732096.0,32000.0,4096,1405.84,🧠,✗,✓,37.50 ± 2.23 / 38.18 ± 1.58@@37.502243968724756,61.85 ± 2.26 / 48.80 ± 3.58@@61.85181084443243,66.98 ± 3.39 / 49.17 ± 3.03@@66.98151745060169,23.37 ± 2.58 / 49.63 ± 4.10@@23.370517190571498,10.58 ± 3.71 / 43.43 ± 3.27@@10.584491629416418,69.41 ± 3.39 / 43.09 ± 5.25@@69.40869622415546,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
ltg/norbert3-xs,2.77,14971776.0,50000.0,512,14208.46,🔍,✓,✗,49.92 ± 1.44 / 63.75 ± 1.45@@49.922047770095105,87.63 ± 0.64 / 84.17 ± 0.81@@87.62631383523116,80.19 ± 2.00 / 75.70 ± 2.31@@80.1875138226453,7.93 ± 4.24 / 50.87 ± 2.29@@7.926831274511883,5.06 ± 0.83 / 51.44 ± 1.05@@5.061934216103568,34.67 ± 8.87 / 22.46 ± 5.97@@34.66582303345716,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
mhenrichsen/hestenettetLM (few-shot),2.79,7241732096.0,32000.0,4096,1150.9,🧠,✓,✗,48.23 ± 3.31 / 65.51 ± 3.01@@48.23017310624379,52.52 ± 1.85 / 43.46 ± 2.21@@52.5206202144185,55.60 ± 3.22 / 45.25 ± 4.20@@55.602441984582555,8.53 ± 3.72 / 38.61 ± 3.22@@8.527707145626625,6.65 ± 1.40 / 39.32 ± 2.51@@6.647503469413224,70.96 ± 2.84 / 46.89 ± 3.29@@70.9606294513665,12.3.2@@120302,12.5.2@@120502,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302,12.3.2@@120302
distilbert/distilbert-base-multilingual-cased,2.79,135324672.0,119547.0,512,26354.74,🔍,✓,✗,33.16 ± 2.13 / 46.93 ± 2.66@@33.15730320243427,83.62 ± 0.75 / 80.61 ± 1.00@@83.61958390659395,80.69 ± 0.69 / 76.61 ± 0.81@@80.6869165182364,36.10 ± 2.45 / 66.11 ± 1.85@@36.095370708961156,30.10 ± 2.50 / 64.29 ± 1.69@@30.09979455073467,30.04 ± 2.13 / 19.26 ± 1.57@@30.03806879238499,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
facebook/xlm-v-base,2.79,778493184.0,901629.0,512,25396.22,🔍,✓,✗,17.93 ± 14.48 / 34.24 ± 10.14@@17.93022620087494,89.99 ± 1.32 / 87.51 ± 1.20@@89.98882058358588,78.60 ± 3.17 / 74.97 ± 3.56@@78.60114764371798,43.46 ± 17.47 / 66.52 ± 12.26@@43.45775247117299,10.97 ± 10.84 / 43.47 ± 9.81@@10.965173099305263,59.80 ± 1.86 / 43.74 ± 2.17@@59.79980837357757,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
KB/bert-base-swedish-cased,2.8,124690944.0,50325.0,512,16181.26,🔍,✓,✗,35.09 ± 1.53 / 46.93 ± 2.27@@35.089732783817276,81.64 ± 1.30 / 82.36 ± 1.18@@81.63824654660253,79.67 ± 1.62 / 76.00 ± 2.01@@79.6677349274475,39.13 ± 2.97 / 67.97 ± 1.68@@39.12922960461474,24.13 ± 6.88 / 60.76 ± 3.29@@24.127522747550515,27.73 ± 6.70 / 19.04 ± 4.63@@27.730606235696534,14.4.0@@140400,14.4.0@@140400,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
danish-foundation-models/munin-7b-v0.1dev0 (few-shot),2.8,7241732096.0,32000.0,8192,6112.86,🧠,✓,✗,39.21 ± 5.64 / 56.54 ± 6.43@@39.208465482392995,50.43 ± 2.27 / 42.19 ± 3.03@@50.4325192905811,54.20 ± 1.81 / 43.92 ± 2.94@@54.20104812069738,20.51 ± 4.43 / 52.48 ± 5.96@@20.514575987140955,11.66 ± 4.10 / 48.13 ± 6.13@@11.663578972262309,73.95 ± 3.51 / 51.57 ± 3.87@@73.95444355949064,12.4.0@@120400,12.5.2@@120502,12.5.2@@120502,12.4.0@@120400,12.4.0@@120400,12.4.0@@120400
jhu-clsp/bernice,2.81,277747200.0,250000.0,128,5566.94,🔍,✓,✗,39.63 ± 1.06 / 49.23 ± 2.13@@39.62567707999795,84.11 ± 1.13 / 81.19 ± 1.37@@84.10657657327843,77.82 ± 1.28 / 73.93 ± 1.46@@77.82103869797623,45.75 ± 3.27 / 71.33 ± 1.67@@45.745945931847345,33.74 ± 2.91 / 63.89 ± 3.31@@33.73927484326483,7.65 ± 5.41 / 5.35 ± 3.79@@7.6492098987405,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
CohereForAI/c4ai-command-r7b-12-2024 (few-shot),2.81,8028033024.0,256000.0,4096,2713.55,📝,✗,✗,34.20 ± 0.74 / 37.16 ± 0.77@@34.19770556390213,64.69 ± 1.45 / 37.73 ± 1.64@@64.68698191350606,64.84 ± 0.91 / 39.12 ± 3.12@@64.83700823356354,20.40 ± 1.81 / 58.99 ± 1.43@@20.396626667219582,14.65 ± 1.20 / 57.06 ± 0.64@@14.654405871334541,68.85 ± 2.95 / 40.77 ± 3.08@@68.84523354473208,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
TrustLLMeu/baseline-7-8b_2-3t-tokens_llama (few-shot),2.81,7799574528.0,100096.0,4096,1394.74,🧠,✓,✗,50.75 ± 4.03 / 65.74 ± 4.24@@50.75320328644099,48.97 ± 2.42 / 44.13 ± 2.35@@48.965096907935525,45.24 ± 3.81 / 42.67 ± 3.38@@45.23646467747263,11.44 ± 1.45 / 51.97 ± 1.61@@11.44062924583965,11.37 ± 2.44 / 52.15 ± 3.22@@11.374993973911954,67.34 ± 3.76 / 45.44 ± 4.74@@67.33819404663363,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
Geotrend/distilbert-base-25lang-cased,2.82,108781056.0,84985.0,512,26098.8,🔍,✓,✗,33.19 ± 1.75 / 46.63 ± 2.55@@33.191108429757115,83.59 ± 1.36 / 80.55 ± 1.53@@83.59476429501122,80.29 ± 1.02 / 76.08 ± 1.06@@80.29367384179487,32.60 ± 6.93 / 65.19 ± 3.31@@32.60133262547532,24.97 ± 6.47 / 61.39 ± 3.34@@24.966129512534575,30.69 ± 2.36 / 19.93 ± 1.76@@30.690174579091824,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
"RJuro/munin-neuralbeagle-7b (few-shot, val)",2.82,7241732096.0,32000.0,4096,1437.1,🧠,✗,✓,37.56 ± 1.97 / 37.83 ± 1.67@@37.5572492378843,61.04 ± 2.55 / 52.89 ± 3.03@@61.044791134490005,66.56 ± 3.71 / 53.49 ± 3.98@@66.55884309148631,22.97 ± 3.64 / 52.10 ± 4.20@@22.966577355350836,3.78 ± 4.41 / 41.76 ± 3.11@@3.7801291346075585,67.32 ± 4.02 / 41.86 ± 5.23@@67.32248521163454,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
Geotrend/distilbert-base-en-no-cased,2.82,68911104.0,33071.0,512,26597.05,🔍,✓,✗,32.32 ± 2.30 / 47.12 ± 2.85@@32.31664360814328,83.93 ± 0.95 / 81.01 ± 0.94@@83.92500785602982,79.39 ± 1.03 / 75.07 ± 1.03@@79.39467149863171,36.15 ± 1.99 / 66.57 ± 1.11@@36.15233506837429,30.17 ± 1.72 / 63.98 ± 1.36@@30.165757262821945,30.26 ± 1.56 / 19.71 ± 1.41@@30.263293019302136,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
AI-Sweden-Models/Llama-3-8B (few-shot),2.82,8030261248.0,128256.0,8192,4140.98,🧠,✓,✗,41.84 ± 2.46 / 56.79 ± 2.95@@41.8360754400024,44.53 ± 2.58 / 36.59 ± 1.71@@44.53136790418299,47.02 ± 2.08 / 39.99 ± 2.76@@47.020873722126595,19.97 ± 3.99 / 47.40 ± 4.84@@19.97394695744557,15.61 ± 4.20 / 43.40 ± 4.90@@15.611307565413096,73.43 ± 3.55 / 50.91 ± 4.42@@73.4256043346266,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
Geotrend/distilbert-base-en-fr-de-no-da-cased,2.83,75545856.0,41710.0,512,26081.06,🔍,✓,✗,32.66 ± 1.96 / 46.26 ± 3.19@@32.65712382493263,83.49 ± 0.83 / 80.32 ± 0.76@@83.49252584033424,80.23 ± 1.09 / 76.10 ± 1.23@@80.23377341139417,33.65 ± 6.63 / 65.22 ± 4.03@@33.648803181624075,29.07 ± 2.20 / 63.35 ± 1.54@@29.069763906673245,29.94 ± 1.81 / 19.29 ± 1.27@@29.943024268439284,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
KBLab/megatron-bert-large-swedish-cased-165k,2.83,369621120.0,64128.0,512,13592.81,🔍,✓,✗,38.38 ± 1.95 / 51.43 ± 2.83@@38.38182478723683,83.09 ± 1.01 / 83.89 ± 1.35@@83.0867142190019,78.01 ± 2.29 / 79.54 ± 2.17@@78.01313701619137,14.44 ± 2.73 / 54.47 ± 2.10@@14.43559780194819,10.04 ± 3.50 / 54.30 ± 1.83@@10.038507874947104,45.31 ± 2.10 / 31.95 ± 1.77@@45.312309923867474,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
senseable/WestLake-7B-v2 (few-shot),2.84,7241732096.0,32000.0,4096,3612.97,🧠,✗,✗,34.84 ± 0.78 / 37.97 ± 0.80@@34.84455057051229,64.56 ± 1.06 / 50.17 ± 2.83@@64.55836196021745,62.99 ± 1.38 / 50.27 ± 3.46@@62.98890989260484,18.92 ± 1.47 / 54.26 ± 3.08@@18.9190765628475,12.88 ± 1.33 / 51.31 ± 2.24@@12.876017924423286,67.02 ± 1.77 / 36.55 ± 2.06@@67.01742973300944,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,2.84,278043648.0,250002.0,512,15099.94,🔍,✓,✗,55.53 ± 1.05 / 68.89 ± 1.16@@55.53314524147811,81.94 ± 0.73 / 78.39 ± 0.86@@81.93580642513393,75.56 ± 1.01 / 71.27 ± 1.18@@75.56449515171651,36.01 ± 2.02 / 64.39 ± 1.49@@36.00910488127719,14.99 ± 8.03 / 54.08 ± 5.71@@14.987566012428161,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
ThatsGroes/munin-SkoleGPTOpenOrca-7b-16bit (few-shot),2.84,7241748480.0,32002.0,32768,3005.72,📝,✗,✗,50.39 ± 1.38 / 66.42 ± 1.20@@50.38514877721955,51.99 ± 1.85 / 37.40 ± 2.95@@51.98888530692373,52.74 ± 1.13 / 36.83 ± 1.95@@52.740018906831,0.99 ± 1.03 / 33.56 ± 0.25@@0.9923011543580869,1.27 ± 1.30 / 34.04 ± 0.45@@1.2660933627008064,72.60 ± 2.57 / 47.95 ± 3.19@@72.60260943686697,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,12.4.0@@120400
Twitter/twhin-bert-base,2.86,278828544.0,250002.0,512,11513.72,🔍,✓,✗,37.02 ± 1.09 / 47.88 ± 2.50@@37.02476025919693,84.11 ± 1.00 / 81.35 ± 1.22@@84.10744048328334,77.22 ± 1.99 / 73.67 ± 2.26@@77.21801083225779,35.42 ± 12.32 / 66.30 ± 6.78@@35.42228056285566,6.87 ± 6.85 / 50.70 ± 3.62@@6.867161489189007,36.16 ± 3.35 / 25.98 ± 2.87@@36.15660234597054,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,12.6.1@@120601
sentence-transformers/paraphrase-xlm-r-multilingual-v1,2.86,278044162.0,250002.0,512,20154.46,🔍,✓,✗,49.93 ± 1.46 / 62.37 ± 2.34@@49.93261611455174,81.26 ± 1.25 / 77.69 ± 1.29@@81.25823052286918,74.05 ± 1.72 / 69.84 ± 1.91@@74.0519571901774,38.26 ± 7.56 / 66.01 ± 3.69@@38.26256385415823,25.17 ± 5.32 / 61.27 ± 3.01@@25.168898320433257,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
Mabeck/Heidrun-Mistral-7B-base (few-shot),2.86,7241732096.0,32000.0,32768,3822.53,🧠,✓,✗,48.64 ± 2.14 / 66.06 ± 1.47@@48.64166524125634,50.10 ± 2.16 / 41.80 ± 2.77@@50.09792125668283,54.81 ± 1.88 / 45.95 ± 3.21@@54.80586894587901,10.31 ± 3.46 / 43.68 ± 5.10@@10.306850689479976,1.11 ± 2.48 / 36.52 ± 2.31@@1.1103364582511241,65.18 ± 2.86 / 42.20 ± 3.02@@65.17548946022505,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000
AI-Nordics/bert-large-swedish-cased,2.87,335215616.0,30592.0,512,13511.14,🔍,✓,✗,33.68 ± 2.15 / 47.27 ± 3.00@@33.676127923250036,82.53 ± 0.67 / 83.57 ± 0.70@@82.53274310716435,77.78 ± 0.98 / 79.42 ± 1.06@@77.77680697468561,21.00 ± 4.63 / 57.29 ± 4.45@@21.00400877789918,12.47 ± 2.93 / 54.82 ± 2.32@@12.471102110952053,44.41 ± 3.17 / 33.06 ± 2.43@@44.40635906294051,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
alpindale/Mistral-7B-v0.2-hf (few-shot),2.87,7241732096.0,32000.0,32768,1841.12,🧠,✓,✗,44.05 ± 2.51 / 61.80 ± 2.28@@44.05280161110497,50.63 ± 2.12 / 44.59 ± 1.80@@50.63264621480707,52.69 ± 2.30 / 46.51 ± 3.63@@52.691778238586906,11.60 ± 4.10 / 43.01 ± 5.07@@11.602639021925858,9.26 ± 1.14 / 46.28 ± 3.60@@9.264693787797478,68.68 ± 3.29 / 45.23 ± 3.73@@68.68092816931616,12.5.1@@120501,12.5.2@@120502,12.5.2@@120502,12.5.1@@120501,12.5.1@@120501,12.5.1@@120501
ibm-granite/granite-8b-code-base-4k (few-shot),2.88,8054910976.0,49152.0,4096,2312.61,🧠,✓,✗,42.00 ± 1.78 / 59.90 ± 1.22@@42.00226359017086,68.40 ± 1.16 / 62.53 ± 1.69@@68.39536755492007,65.15 ± 0.79 / 60.39 ± 2.11@@65.14855386867137,5.20 ± 2.23 / 36.33 ± 1.30@@5.199941797233526,3.32 ± 2.02 / 37.81 ± 3.26@@3.321004459671575,60.94 ± 3.06 / 37.51 ± 2.58@@60.93604555432366,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
CohereForAI/c4ai-command-r-v01 (few-shot),2.89,34980831232.0,256000.0,8192,1919.22,📝,✗,✗,35.73 ± 0.66 / 38.06 ± 0.54@@35.726478008399,61.54 ± 2.53 / 42.44 ± 2.12@@61.54172112763315,60.94 ± 1.48 / 43.92 ± 2.09@@60.93512048619733,21.33 ± 2.08 / 52.01 ± 3.05@@21.328466031794374,13.20 ± 1.51 / 52.20 ± 2.53@@13.19772253049241,61.64 ± 1.20 / 32.36 ± 1.99@@61.64134613879988,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
"timpal0l/BeagleCatMunin (few-shot, val)",2.89,7241732096.0,32000.0,4096,1434.78,🧠,✗,✓,38.73 ± 1.84 / 38.04 ± 1.61@@38.730504401619115,53.68 ± 3.16 / 46.61 ± 3.63@@53.678874791714314,60.37 ± 3.67 / 47.71 ± 3.22@@60.36859744318763,17.50 ± 5.71 / 45.11 ± 4.38@@17.499177826239055,5.82 ± 3.54 / 35.95 ± 1.99@@5.820390248394599,66.06 ± 4.79 / 41.97 ± 5.42@@66.0569070439237,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"merge-crew/da-sv-dare-ties-density-0.9 (few-shot, val)",2.9,7241732096.0,32000.0,4096,1436.12,🧠,✓,✓,36.83 ± 1.93 / 37.82 ± 1.67@@36.82824508108069,48.81 ± 3.96 / 41.56 ± 4.30@@48.814902629169346,59.19 ± 2.84 / 47.63 ± 3.61@@59.19241301206183,22.36 ± 3.00 / 57.94 ± 2.37@@22.35619432587895,9.55 ± 5.55 / 52.56 ± 2.67@@9.547814868321518,67.77 ± 4.67 / 46.87 ± 4.77@@67.76676865866928,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
tiiuae/Falcon3-10B-Base (few-shot),2.91,10305653760.0,131072.0,32768,1068.74,🧠,✓,✗,31.48 ± 0.81 / 35.68 ± 0.68@@31.480830707474666,63.48 ± 1.75 / 55.01 ± 3.95@@63.47770335062858,60.83 ± 1.32 / 52.79 ± 2.77@@60.82986444189329,12.95 ± 3.09 / 41.80 ± 3.84@@12.952453305511009,11.13 ± 3.01 / 47.56 ± 4.28@@11.13086299107006,71.80 ± 2.48 / 46.74 ± 3.52@@71.79709239325393,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
"RJuro/munin-neuralbeagle-SkoleGPTOpenOrca-7b (few-shot, val)",2.92,7241748480.0,32002.0,4096,1497.75,📝,✗,✓,34.41 ± 2.24 / 37.22 ± 1.66@@34.413153717983285,53.71 ± 3.60 / 39.35 ± 5.05@@53.70932955591437,59.82 ± 4.17 / 41.15 ± 3.28@@59.82004847383333,28.48 ± 3.07 / 63.73 ± 1.77@@28.48210871944553,11.83 ± 6.82 / 54.63 ± 3.20@@11.833575678176336,63.58 ± 1.39 / 36.79 ± 1.76@@63.578163298886736,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
tiiuae/Falcon3-7B-Instruct (few-shot),2.92,7455550464.0,131072.0,32768,2978.29,📝,✓,✗,31.68 ± 0.64 / 36.31 ± 0.42@@31.67883770302531,64.49 ± 1.21 / 56.11 ± 1.49@@64.49054137213489,61.25 ± 0.89 / 54.29 ± 2.05@@61.24917735445966,17.89 ± 1.94 / 53.96 ± 2.05@@17.885388249395646,14.60 ± 1.25 / 56.22 ± 1.02@@14.597242341436173,66.60 ± 1.46 / 37.75 ± 1.79@@66.60295504699573,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
mistralai/Mistral-7B-Instruct-v0.1 (few-shot),2.93,7241732096.0,32000.0,32766,633.64,📝,✓,✗,43.65 ± 1.98 / 60.88 ± 1.36@@43.652793778855894,50.08 ± 1.54 / 34.52 ± 1.17@@50.081395246333074,51.27 ± 1.52 / 33.37 ± 2.37@@51.274252099076925,14.09 ± 2.85 / 44.91 ± 3.95@@14.085737384551472,8.28 ± 1.82 / 47.22 ± 3.72@@8.282114708405834,63.67 ± 2.98 / 37.23 ± 3.15@@63.66620333397842,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,12.4.0@@120400
ibm-granite/granite-8b-code-instruct-4k (few-shot),2.93,8054910976.0,49152.0,4096,5616.81,📝,✓,✗,40.71 ± 1.63 / 59.35 ± 1.58@@40.71337482980536,66.91 ± 1.50 / 54.98 ± 2.20@@66.90651557468502,62.82 ± 1.23 / 53.14 ± 3.17@@62.82176577363201,9.50 ± 1.68 / 46.31 ± 3.06@@9.503845900914031,6.74 ± 1.70 / 42.10 ± 4.67@@6.741432550974527,55.30 ± 2.35 / 32.83 ± 1.83@@55.29798459664687,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
Geotrend/distilbert-base-en-da-cased,2.93,68649984.0,32731.0,512,26196.27,🔍,✓,✗,29.37 ± 2.58 / 44.05 ± 3.33@@29.36915785658974,83.27 ± 1.20 / 80.29 ± 1.38@@83.26556720618946,79.59 ± 0.97 / 75.31 ± 1.19@@79.5887160813662,31.50 ± 6.37 / 64.62 ± 3.29@@31.49947143959257,24.06 ± 7.24 / 61.01 ± 3.82@@24.060148440790613,29.69 ± 1.81 / 18.62 ± 0.81@@29.685505022953215,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
Geotrend/distilbert-base-da-cased,2.93,61291776.0,23150.0,512,28949.94,🔍,✓,✗,30.70 ± 2.63 / 43.77 ± 2.62@@30.700361181443736,82.84 ± 0.61 / 79.91 ± 0.64@@82.83516582575639,78.83 ± 1.18 / 74.64 ± 1.40@@78.83064310422962,34.24 ± 2.30 / 65.60 ± 1.50@@34.24228756131399,27.20 ± 2.61 / 62.87 ± 1.41@@27.198020769805876,26.22 ± 2.65 / 16.44 ± 1.76@@26.22360586252426,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
BSC-LT/salamandra-7b (few-shot),2.93,7768117248.0,256000.0,8192,3123.97,🧠,✓,✗,39.34 ± 4.01 / 58.79 ± 3.15@@39.34390105731469,51.84 ± 1.51 / 45.67 ± 3.55@@51.84288112231913,49.15 ± 2.69 / 43.23 ± 3.18@@49.15254374568313,13.22 ± 3.39 / 38.92 ± 3.00@@13.22311868664427,8.53 ± 2.11 / 36.28 ± 1.54@@8.525527547634837,69.87 ± 3.78 / 47.66 ± 4.86@@69.86847464811389,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
Geotrend/bert-base-en-fr-de-no-da-cased,2.93,118074624.0,41710.0,512,46695.25,🔍,✓,✗,32.22 ± 0.97 / 45.12 ± 1.60@@32.22391129474463,85.11 ± 0.43 / 86.18 ± 0.32@@85.10690079654228,80.85 ± 0.97 / 82.67 ± 0.67@@80.84976539513116,20.09 ± 5.06 / 56.85 ± 3.71@@20.094561909800497,12.52 ± 5.39 / 52.71 ± 4.96@@12.523607764579516,37.37 ± 3.37 / 24.91 ± 2.59@@37.37026685727097,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
