model,rank,parameters,vocabulary_size,context,speed,commercial,merge,fosent,fone,scala_fo,foqa,fosent_version,fone_version,scala_fo_version,foqa_version
microsoft/xlm-align-base,4.28,278043648.0,250002.0,514,42574.78,✓,✗,2.54 ± 4.09 / 19.42 ± 4.54@@2.5370965856303807,85.97 ± 1.12 / 86.52 ± 1.08@@85.97227712014694,0.02 ± 1.38 / 44.65 ± 2.65@@0.020973487980136193,1.00 ± 1.31 / 0.72 ± 0.93@@1.0022990975655153,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
KBLab/bert-base-swedish-cased,4.29,124690944.0,50325.0,512,16164.04,✓,✗,3.46 ± 2.02 / 20.63 ± 3.68@@3.463328396736355,79.99 ± 1.13 / 80.76 ± 1.10@@79.98876497709027,1.32 ± 2.66 / 49.75 ± 1.50@@1.3243900598673288,0.13 ± 0.19 / 0.10 ± 0.15@@0.1289451047692343,13.3.0@@130300,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
dbmdz/bert-base-historic-multilingual-cased,4.29,111243522.0,32000.0,512,20046.97,✓,✗,0.90 ± 2.61 / 26.49 ± 2.31@@0.8955800135631252,80.45 ± 1.48 / 81.32 ± 1.42@@80.4518216375284,2.52 ± 1.88 / 47.78 ± 1.67@@2.52135663009764,1.12 ± 1.62 / 0.58 ± 0.81@@1.124479122835051,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
dbmdz/bert-medium-historic-multilingual-cased,4.29,42129920.0,32000.0,512,24291.12,✓,✗,3.06 ± 2.93 / 25.95 ± 1.54@@3.060220049622267,80.58 ± 0.45 / 81.29 ± 0.46@@80.58121481710968,1.58 ± 2.34 / 49.16 ± 2.33@@1.5827531611172354,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
ibm-granite/granite-3.0-3b-a800m-instruct (few-shot),4.31,3374295552.0,49155.0,4096,10246.27,✓,✗,7.44 ± 3.71 / 28.90 ± 5.97@@7.444255178027015,45.56 ± 1.92 / 42.78 ± 1.78@@45.55881699717953,0.92 ± 2.19 / 40.29 ± 3.87@@0.921071019326084,31.49 ± 1.49 / 20.82 ± 1.22@@31.487408392967133,13.3.0@@130300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
microsoft/infoxlm-base,4.32,278043648.0,250002.0,512,34735.22,✓,✗,0.37 ± 2.84 / 16.66 ± 1.24@@0.37006681281948284,85.58 ± 1.04 / 86.23 ± 1.03@@85.57526705625531,0.35 ± 2.36 / 43.55 ± 4.58@@0.35030959265468126,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
DDSC/roberta-base-scandinavian,4.34,124645632.0,50265.0,512,14490.87,✓,✗,2.04 ± 2.65 / 20.52 ± 2.77@@2.0421715645493244,63.86 ± 20.89 / 64.42 ± 21.07@@63.85672478076956,0.73 ± 2.11 / 49.36 ± 1.78@@0.7334994699740011,15.52 ± 1.88 / 10.57 ± 1.30@@15.523989400434726,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
Maltehb/aelaectra-danish-electra-small-uncased,4.34,13737984.0,32000.0,128,5995.22,✓,✗,8.70 ± 3.64 / 31.07 ± 4.78@@8.700066389181996,62.07 ± 1.18 / 61.72 ± 1.18@@62.070123528944464,5.11 ± 3.80 / 47.64 ± 4.52@@5.109694204976582,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
ibm-granite/granite-3b-code-instruct-2k (few-shot),4.35,3482503680.0,49152.0,2048,9058.91,✓,✗,3.80 ± 5.87 / 28.41 ± 4.70@@3.797410285385847,56.88 ± 2.51 / 57.68 ± 2.14@@56.875357354195145,-0.21 ± 2.20 / 34.20 ± 1.19@@-0.20796523663707103,24.11 ± 2.40 / 13.72 ± 2.56@@24.113267490489818,13.3.0@@130300,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
pdelobelle/robbert-v2-dutch-base,4.37,116762112.0,40000.0,512,15480.92,✓,✗,3.32 ± 3.17 / 22.45 ± 6.10@@3.3198952503398833,78.59 ± 1.16 / 79.35 ± 1.08@@78.5850679626332,0.65 ± 2.63 / 47.40 ± 3.23@@0.6508272158096825,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
ibm-granite/granite-3b-code-base-2k (few-shot),4.37,3482503680.0,49152.0,2048,2731.51,✓,✗,0.16 ± 0.32 / 14.73 ± 2.24@@0.16321613306022356,60.88 ± 2.03 / 60.02 ± 1.84@@60.8779596515204,-0.35 ± 1.18 / 34.50 ± 1.25@@-0.3536549871120316,29.79 ± 1.35 / 18.54 ± 1.93@@29.792591227269412,14.1.2@@140102,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
ltg/norbert2,4.38,124521216.0,50104.0,512,15523.39,✓,✗,2.58 ± 3.12 / 27.61 ± 2.89@@2.57604647705318,60.57 ± 0.86 / 60.42 ± 0.90@@60.572355474894515,4.16 ± 2.63 / 47.13 ± 3.43@@4.156740786109616,14.80 ± 1.25 / 7.84 ± 0.99@@14.804238690798845,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
KBLab/albert-base-swedish-cased-alpha,4.39,14243584.0,50000.0,512,15925.14,✓,✗,1.09 ± 3.08 / 22.88 ± 1.59@@1.0860751563581095,73.80 ± 0.98 / 74.58 ± 0.92@@73.80017807100157,0.81 ± 2.90 / 48.11 ± 2.18@@0.8057567758410347,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
3ebdola/Dialectal-Arabic-XLM-R-Base,4.39,278043648.0,250002.0,512,12782.54,✓,✗,1.49 ± 2.48 / 20.15 ± 3.56@@1.4883926514405839,73.34 ± 1.57 / 74.24 ± 1.56@@73.3408442596618,0.97 ± 2.25 / 44.25 ± 3.12@@0.9695600456124585,0.01 ± 0.02 / 0.00 ± 0.00@@0.008333333333333335,13.3.0@@130300,12.6.1@@120601,12.6.1@@120601,13.0.0@@130000
EuropeanParliament/EUBERT,4.42,93923328.0,65636.0,512,20070.41,✓,✗,0.94 ± 4.40 / 23.64 ± 4.57@@0.9386626474096129,59.50 ± 1.56 / 58.98 ± 1.55@@59.49518409988672,3.25 ± 2.04 / 49.77 ± 1.40@@3.252418649992643,10.14 ± 2.41 / 5.56 ± 1.52@@10.141403311197804,13.3.0@@130300,12.6.1@@120601,12.6.1@@120601,13.0.0@@130000
dbmdz/bert-tiny-historic-multilingual-cased,4.45,4575104.0,32000.0,512,78027.26,✓,✗,-1.81 ± 2.47 / 15.54 ± 0.87@@-1.8106047452222434,72.08 ± 1.25 / 72.93 ± 1.20@@72.07797580138701,2.65 ± 2.40 / 48.48 ± 1.87@@2.650003578539668,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
tiiuae/Falcon3-3B-Instruct (few-shot),4.46,3227655168.0,131072.0,32768,6467.85,✓,✗,3.87 ± 3.89 / 32.26 ± 2.48@@3.8703953579051396,45.96 ± 2.08 / 46.75 ± 2.82@@45.95588426311485,-1.08 ± 2.54 / 38.80 ± 2.97@@-1.076600497120764,32.92 ± 2.24 / 21.01 ± 2.22@@32.919890040825145,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
Maltehb/aelaectra-danish-electra-small-cased,4.5,13737984.0,32000.0,128,4592.9,✓,✗,3.76 ± 3.09 / 23.86 ± 4.50@@3.755479949314683,58.52 ± 3.91 / 59.67 ± 3.83@@58.52000581958464,1.09 ± 2.20 / 33.70 ± 0.56@@1.0873226604105866,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,12.7.0@@120700,12.7.0@@120700,13.0.0@@130000
sarnikowski/convbert-small-da-cased,4.53,13014104.0,28995.0,512,14273.42,✓,✗,-0.24 ± 2.78 / 20.55 ± 2.59@@-0.24293868061033203,58.50 ± 0.63 / 58.33 ± 0.70@@58.49884451560909,5.96 ± 2.04 / 51.99 ± 1.53@@5.956559049485213,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
sarnikowski/convbert-medium-small-da-cased,4.55,24485316.0,28995.0,512,13820.64,✓,✗,-1.39 ± 3.48 / 23.17 ± 3.58@@-1.3894348732474355,59.66 ± 0.63 / 59.39 ± 0.60@@59.657976327689966,4.58 ± 3.90 / 50.83 ± 2.59@@4.578660365575575,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
ibm-granite/granite-3.0-3b-a800m-base (few-shot),4.55,3374286336.0,49152.0,4096,10504.04,✓,✗,5.40 ± 3.00 / 17.90 ± 2.95@@5.400384870947248,41.27 ± 4.31 / 40.85 ± 4.31@@41.269081667049534,-0.20 ± 2.17 / 43.01 ± 3.39@@-0.20463148464897307,29.77 ± 2.80 / 19.69 ± 2.66@@29.766373141253233,14.1.2@@140102,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
HuggingFaceTB/SmolLM2-1.7B-Instruct (few-shot),4.66,1711376384.0,49152.0,8192,2631.13,✓,✗,3.94 ± 3.10 / 30.51 ± 3.43@@3.944870134514982,40.28 ± 3.29 / 42.15 ± 2.85@@40.281626376734124,-0.26 ± 1.92 / 38.29 ± 4.03@@-0.25808552248933275,17.52 ± 1.85 / 10.68 ± 1.75@@17.521697421090586,13.3.0@@130300,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
tiiuae/Falcon3-3B-Base (few-shot),4.69,3227655168.0,131072.0,32768,6469.55,✓,✗,-3.57 ± 2.30 / 22.93 ± 2.33@@-3.5678221888289805,43.68 ± 3.88 / 44.36 ± 3.54@@43.68103085893704,0.92 ± 2.49 / 41.31 ± 4.17@@0.9159544553621857,20.38 ± 2.80 / 13.02 ± 2.19@@20.376464806475745,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
fresh-xlm-roberta-base,4.72,278043648.0,250002.0,512,2214.08,✓,✗,1.07 ± 2.10 / 17.71 ± 4.10@@1.073519910953693,48.70 ± 1.57 / 48.51 ± 1.57@@48.70236996629566,2.37 ± 2.06 / 37.68 ± 3.25@@2.366144504608287,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,13.3.0@@130300,<9.2.0@@0,<9.2.0@@0,13.0.0@@130000
utter-project/EuroLLM-1.7B-Instruct (few-shot),4.75,1656850432.0,128000.0,4096,6288.34,✓,✗,4.25 ± 5.04 / 26.21 ± 4.24@@4.247810470429276,33.53 ± 3.87 / 35.41 ± 3.77@@33.53026622172869,-2.32 ± 2.11 / 45.19 ± 2.78@@-2.324346325466013,25.07 ± 1.98 / 15.41 ± 2.05@@25.072364341186336,13.3.0@@130300,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
HuggingFaceTB/SmolLM2-1.7B (few-shot),4.81,1711376384.0,49152.0,8192,2616.53,✓,✗,0.77 ± 4.14 / 23.56 ± 3.58@@0.7673355992470066,27.91 ± 4.97 / 30.98 ± 4.28@@27.909897128682992,-0.48 ± 0.89 / 33.97 ± 1.00@@-0.48353159803999873,26.11 ± 1.42 / 16.56 ± 1.66@@26.11218489972999,14.1.2@@140102,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
PleIAs/Pleias-1.2b-Preview (few-shot),4.83,1195468800.0,65536.0,2048,10756.07,✓,✗,-1.72 ± 2.43 / 16.58 ± 3.29@@-1.7191941137428481,38.91 ± 4.57 / 39.53 ± 3.74@@38.911127517777864,0.66 ± 0.95 / 33.60 ± 0.66@@0.6637434809498228,7.78 ± 6.05 / 5.21 ± 4.07@@7.779091012441855,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300
utter-project/EuroLLM-1.7B (few-shot),4.85,,128000.0,4096,2755.85,✓,✗,-0.37 ± 3.72 / 25.29 ± 3.19@@-0.370908052387041,34.29 ± 3.50 / 35.05 ± 3.56@@34.28782335373484,-0.69 ± 1.83 / 35.49 ± 2.04@@-0.6850598470448971,15.70 ± 1.96 / 8.89 ± 1.88@@15.69706403145224,14.1.2@@140102,14.2.0.dev0@@140200,14.2.0.dev0@@140200,14.3.0@@140300
PleIAs/Pleias-350m-Preview (few-shot),5.01,353424384.0,65536.0,2048,10241.69,✓,✗,0.00 ± 0.00 / 13.57 ± 0.43@@0.0,31.99 ± 3.53 / 32.31 ± 3.75@@31.986402427159778,0.48 ± 1.60 / 37.69 ± 4.37@@0.4837710165703531,0.94 ± 0.77 / 0.37 ± 0.32@@0.938573730498554,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300
HuggingFaceTB/SmolLM2-135M-Instruct (few-shot),5.02,134515008.0,49152.0,8192,25602.11,✓,✗,3.78 ± 2.95 / 27.36 ± 2.62@@3.783199223377278,23.22 ± 3.22 / 24.30 ± 2.81@@23.22194884899811,0.41 ± 2.39 / 39.64 ± 3.47@@0.4071318625285021,3.34 ± 0.61 / 0.54 ± 0.33@@3.336474493755633,13.3.0@@130300,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
HuggingFaceTB/SmolLM2-360M-Instruct (few-shot),5.02,361821120.0,49152.0,8192,21776.98,✓,✗,3.07 ± 2.88 / 28.68 ± 2.63@@3.07376300524985,26.85 ± 3.99 / 27.35 ± 3.60@@26.845719497364996,-0.12 ± 1.62 / 45.84 ± 3.59@@-0.11809344362076965,4.02 ± 0.64 / 1.39 ± 0.54@@4.016790197381883,13.3.0@@130300,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
PleIAs/Pleias-3b-Preview (few-shot),5.03,3211926528.0,65536.0,4096,6513.19,✓,✗,-0.03 ± 6.54 / 23.66 ± 3.61@@-0.029427409118506637,22.75 ± 5.63 / 23.52 ± 4.86@@22.751312360862578,-0.78 ± 1.59 / 33.93 ± 0.87@@-0.7808788842027207,13.79 ± 1.63 / 8.82 ± 1.62@@13.788465544910204,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300
HuggingFaceTB/SmolLM2-360M (few-shot),5.04,361821120.0,49152.0,8192,22023.39,✓,✗,-0.56 ± 5.13 / 23.83 ± 3.35@@-0.5630114520541718,28.14 ± 2.42 / 28.12 ± 2.55@@28.141244079440554,-0.06 ± 0.67 / 33.85 ± 0.68@@-0.06464833144187737,6.05 ± 0.59 / 2.43 ± 0.73@@6.047769124248755,14.1.2@@140102,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
PleIAs/Pleias-Nano (few-shot),5.05,1195468800.0,65536.0,2048,2519.09,✓,✗,-1.78 ± 2.38 / 16.36 ± 2.94@@-1.777953323516101,20.76 ± 6.32 / 22.79 ± 5.85@@20.76223213329692,0.87 ± 1.94 / 34.86 ± 1.71@@0.871337132476858,6.04 ± 4.78 / 3.48 ± 2.81@@6.040725935869001,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300
tiiuae/Falcon3-1B-Instruct (few-shot),5.06,1669408768.0,131072.0,8192,9270.37,✓,✗,2.36 ± 2.76 / 17.70 ± 4.11@@2.355527100561889,14.18 ± 3.48 / 13.89 ± 3.46@@14.180588696857852,2.29 ± 2.66 / 48.34 ± 3.37@@2.292128174809298,12.91 ± 1.66 / 6.35 ± 1.25@@12.908244070332284,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102,14.1.2@@140102
HuggingFaceTB/SmolLM2-135M (few-shot),5.07,134515008.0,49152.0,8192,26346.08,✓,✗,-0.24 ± 2.92 / 26.18 ± 4.52@@-0.24298160535555557,25.51 ± 2.40 / 26.43 ± 1.77@@25.505816096297178,0.46 ± 1.43 / 36.19 ± 3.30@@0.4592973069942458,3.01 ± 0.44 / 0.15 ± 0.20@@3.0081243612865185,14.1.2@@140102,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
PleIAs/Pleias-Pico (few-shot),5.1,353424384.0,65536.0,2048,2330.93,✓,✗,0.67 ± 1.52 / 13.76 ± 0.51@@0.6677536184980676,22.55 ± 5.84 / 22.62 ± 6.04@@22.545985549471915,0.87 ± 1.83 / 38.38 ± 4.75@@0.8696573085149194,0.99 ± 0.78 / 0.32 ± 0.34@@0.9858464761135313,14.1.2@@140102,14.0.4@@140004,14.1.2@@140102,14.3.0@@140300
ssmits/Falcon2-5.5B-multilingual (few-shot),5.46,5465415680.0,65024.0,8192,7691.9,✓,✗,0.74 ± 1.78 / 13.97 ± 0.80@@0.7400694483838026,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,0.00 ± 0.00 / 33.40 ± 0.34@@0.0,0.00 ± 0.00 / 0.00 ± 0.00@@0.0,14.1.2@@140102,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
