model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,angry_tweets,dansk,scala_da,scandiqa_da,angry_tweets_version,dansk_version,scala_da_version,scandiqa_da_version
<a href='https://huggingface.co/Twitter/twhin-bert-large'>Twitter/twhin-bert-large</a>,🔍,2.66@@2.66,560413186.0,250002.0,512.0,✓,✗,39.36 ± 3.13 / 58.64 ± 2.64@@39.362300040889934,66.39 ± 1.42 / 62.24 ± 1.29@@66.38727369045586,7.06 ± 6.11 / 49.71 ± 4.63@@7.062222916853915,38.42 ± 4.16 / 33.88 ± 4.27@@38.41936049421196,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/ibm-granite/granite-8b-code-instruct-4k'>ibm-granite/granite-8b-code-instruct-4k (few-shot)</a>,📝,2.66@@2.66,8054910976.0,49152.0,4096.0,✓,✗,40.44 ± 2.02 / 57.13 ± 2.26@@40.43644673844422,46.97 ± 1.50 / 37.06 ± 1.51@@46.96531801308691,11.91 ± 1.68 / 44.12 ± 3.03@@11.91191720376851,56.17 ± 0.59 / 50.10 ± 0.55@@56.166167097816334,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/ibm-granite/granite-8b-code-base'>ibm-granite/granite-8b-code-base (few-shot)</a>,🧠,2.66@@2.66,8054910976.0,49152.0,4127.0,✓,✗,39.16 ± 0.95 / 56.83 ± 1.90@@39.157608455127615,48.55 ± 1.75 / 37.15 ± 1.83@@48.5484906715467,10.43 ± 1.91 / 46.99 ± 3.74@@10.432454845709863,56.75 ± 0.70 / 51.28 ± 0.95@@56.74700774015766,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf (few-shot)</a>,🧠,2.67@@2.67,13015866880.0,32000.0,4096.0,✓,✗,27.35 ± 4.52 / 42.16 ± 6.58@@27.345835459774214,41.09 ± 2.36 / 34.03 ± 1.54@@41.08562816706374,27.54 ± 2.52 / 60.83 ± 2.65@@27.543486948548797,66.14 ± 0.71 / 60.96 ± 0.72@@66.14364248626684,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/Geotrend/distilbert-base-en-fr-de-no-da-cased'>Geotrend/distilbert-base-en-fr-de-no-da-cased</a>,🔍,2.68@@2.68,74956802.0,41710.0,512.0,✓,✗,31.30 ± 1.80 / 52.43 ± 1.61@@31.299967813664743,58.78 ± 1.75 / 55.50 ± 1.82@@58.78405093090525,34.92 ± 2.74 / 66.69 ± 2.11@@34.91520508627752,32.53 ± 1.36 / 27.86 ± 1.51@@32.53467719200029,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/ibm-granite/granite-3.0-2b-instruct'>ibm-granite/granite-3.0-2b-instruct (few-shot)</a>,📝,2.68@@2.68,2634201088.0,49155.0,4128.0,✓,✗,41.86 ± 1.28 / 61.22 ± 0.99@@41.86326637028724,41.79 ± 2.11 / 32.67 ± 2.33@@41.78824721583756,11.86 ± 1.80 / 50.92 ± 3.93@@11.856665913714817,59.28 ± 0.61 / 51.97 ± 0.76@@59.27823659221394,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b (few-shot)</a>,🧠,2.68@@2.68,7768117248.0,256000.0,8192.0,✓,✗,32.12 ± 3.40 / 43.66 ± 3.92@@32.124662452217834,41.66 ± 2.43 / 32.18 ± 1.83@@41.657561703647694,22.25 ± 5.29 / 51.29 ± 6.81@@22.24833265908599,63.73 ± 0.47 / 58.08 ± 0.54@@63.732935966593494,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/distilbert/distilbert-base-multilingual-cased'>distilbert/distilbert-base-multilingual-cased</a>,🔍,2.68@@2.68,134735618.0,119547.0,512.0,✓,✗,32.53 ± 1.39 / 54.09 ± 1.00@@32.52985754909143,58.12 ± 1.30 / 54.97 ± 1.45@@58.1221208980723,35.53 ± 2.54 / 66.86 ± 1.87@@35.52927648806958,32.96 ± 1.90 / 28.19 ± 1.93@@32.96179795471586,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/bineric/NorskGPT-Llama-7B-v0.1'>bineric/NorskGPT-Llama-7B-v0.1 (few-shot)</a>,📝,2.69@@2.69,6738415616.0,32000.0,4096.0,✗,✗,47.73 ± 1.52 / 60.64 ± 2.33@@47.72916606080508,41.63 ± 2.33 / 28.51 ± 2.43@@41.62679001033296,0.00 ± 0.00 / 33.41 ± 0.23@@0.0,61.70 ± 0.71 / 54.25 ± 0.85@@61.69906774990511,12.3.2@@120302,12.5.2@@120502,12.3.2@@120302,12.3.2@@120302
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5 (few-shot)</a>,🧠,2.69@@2.69,7241732096.0,32000.0,4096.0,✓,✗,47.21 ± 1.97 / 64.57 ± 1.42@@47.21007757343729,39.62 ± 2.46 / 29.31 ± 1.94@@39.6234690815506,0.23 ± 0.45 / 33.52 ± 0.29@@0.22769149479412865,63.83 ± 0.66 / 59.03 ± 0.66@@63.825749683489576,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/norallm/normistral-7b-warm-instruct'>norallm/normistral-7b-warm-instruct (few-shot)</a>,📝,2.70@@2.70,,32768.0,2048.0,✓,✗,47.48 ± 2.00 / 63.93 ± 1.86@@47.48174242482779,39.83 ± 2.18 / 25.99 ± 1.56@@39.82919276089475,4.55 ± 2.34 / 42.91 ± 4.05@@4.554511032704453,57.45 ± 0.53 / 49.23 ± 0.63@@57.44542700100764,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B (few-shot)</a>,🧠,2.70@@2.70,3212749824.0,128256.0,131104.0,✓,✗,38.90 ± 1.93 / 44.34 ± 1.64@@38.897144472659676,41.13 ± 2.85 / 27.15 ± 1.82@@41.13015036036794,9.60 ± 2.51 / 44.34 ± 5.20@@9.602475529649109,62.25 ± 0.88 / 56.85 ± 1.27@@62.24714028717875,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/ibm-granite/granite-8b-code-base-4k'>ibm-granite/granite-8b-code-base-4k (few-shot)</a>,🧠,2.71@@2.71,8054910976.0,49152.0,4096.0,✓,✗,38.33 ± 2.98 / 56.57 ± 2.23@@38.33392915298424,48.40 ± 1.67 / 37.88 ± 1.88@@48.40147919312886,8.76 ± 2.44 / 44.56 ± 4.71@@8.764764649530246,57.44 ± 0.37 / 52.01 ± 0.44@@57.44407388723026,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot)</a>,🧠,2.71@@2.71,7799574528.0,100096.0,4096.0,✓,✗,45.08 ± 2.28 / 57.33 ± 2.03@@45.08470845200537,33.59 ± 2.14 / 28.68 ± 1.93@@33.585037068229354,9.92 ± 1.93 / 50.81 ± 3.81@@9.920011731383845,59.35 ± 1.11 / 53.07 ± 1.16@@59.35177810777667,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B@1000B (few-shot)</a>,🧠,2.73@@2.73,33119034368.0,131072.0,4128.0,✓,✗,45.05 ± 2.49 / 62.23 ± 1.84@@45.04537828904147,34.22 ± 2.47 / 22.52 ± 1.93@@34.21790334339265,9.40 ± 2.63 / 44.83 ± 4.69@@9.39504170974978,60.33 ± 0.76 / 54.92 ± 1.00@@60.327070939690884,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900
<a href='https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,2.73@@2.73,117506690.0,250037.0,512.0,✓,✗,44.48 ± 1.32 / 63.11 ± 0.83@@44.48203739728519,56.75 ± 1.91 / 53.43 ± 1.87@@56.75200175112931,26.74 ± 1.94 / 62.19 ± 1.84@@26.743965936964536,25.53 ± 1.05 / 17.89 ± 1.00@@25.529998932917696,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,2.73@@2.73,108192002.0,84985.0,512.0,✓,✗,31.81 ± 1.65 / 53.25 ± 1.65@@31.813129339586872,58.44 ± 2.08 / 55.32 ± 1.81@@58.437005023447206,34.13 ± 2.81 / 65.98 ± 2.30@@34.128103305352866,32.18 ± 1.64 / 27.60 ± 1.58@@32.179542240735266,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/Geotrend/distilbert-base-en-no-cased'>Geotrend/distilbert-base-en-no-cased</a>,🔍,2.73@@2.73,68322050.0,33071.0,512.0,✓,✗,32.95 ± 0.82 / 54.57 ± 0.80@@32.9483040315225,57.53 ± 1.89 / 54.43 ± 1.91@@57.527017688701235,33.63 ± 2.63 / 65.69 ± 1.82@@33.63037940774125,32.05 ± 1.23 / 27.21 ± 1.31@@32.04694513166832,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/Geotrend/distilbert-base-da-cased'>Geotrend/distilbert-base-da-cased</a>,🔍,2.73@@2.73,60702722.0,23150.0,512.0,✓,✗,32.13 ± 1.52 / 53.89 ± 1.25@@32.1279969996075,58.36 ± 1.69 / 55.30 ± 1.49@@58.36231321658399,34.75 ± 1.55 / 65.89 ± 1.56@@34.753223746475506,32.16 ± 1.28 / 27.50 ± 1.21@@32.164881290877084,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/ltg/norbert3-small'>ltg/norbert3-small</a>,🔍,2.74@@2.74,40634882.0,50000.0,512.0,✓,✗,38.38 ± 2.26 / 58.16 ± 1.44@@38.379387817962545,50.37 ± 2.36 / 48.72 ± 2.32@@50.37469513905548,32.71 ± 9.93 / 61.96 ± 8.78@@32.71121669022836,34.12 ± 1.32 / 29.79 ± 1.32@@34.12089827734077,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base (few-shot)</a>,🧠,2.75@@2.75,20066993152.0,49152.0,8192.0,✓,✗,37.14 ± 1.17 / 48.08 ± 2.03@@37.142141057291305,49.43 ± 1.64 / 36.58 ± 2.36@@49.43098285768565,6.35 ± 2.72 / 41.35 ± 5.31@@6.350817112269726,57.99 ± 0.54 / 51.97 ± 0.53@@57.98502455023457,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://huggingface.co/KBLab/megatron-bert-large-swedish-cased-165k'>KBLab/megatron-bert-large-swedish-cased-165k</a>,🔍,2.75@@2.75,369621120.0,64128.0,512.0,✓,✗,34.91 ± 2.19 / 55.65 ± 1.89@@34.907171394463376,56.51 ± 4.34 / 51.64 ± 4.31@@56.50841145908676,15.74 ± 2.30 / 55.90 ± 2.51@@15.73649464051826,43.58 ± 1.78 / 37.72 ± 1.66@@43.57785177774379,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/emillykkejensen/Phi-3-mini-4k-instruct-dansk'>emillykkejensen/Phi-3-mini-4k-instruct-dansk (few-shot)</a>,📝,2.75@@2.75,3821079552.0,32064.0,4127.0,✗,✗,44.93 ± 1.13 / 62.99 ± 0.87@@44.926264483569945,39.96 ± 3.11 / 25.49 ± 2.71@@39.96430208587779,4.01 ± 1.10 / 45.80 ± 2.61@@4.014438264489615,60.67 ± 0.59 / 55.01 ± 0.80@@60.672175354135035,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004,12.10.4@@121004
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-40b'>AI-Sweden-Models/gpt-sw3-40b (few-shot)</a>,🧠,2.75@@2.75,39926513664.0,64000.0,2077.0,✓,✗,47.81 ± 1.32 / 64.26 ± 1.28@@47.81192725681386,26.57 ± 5.22 / 17.35 ± 2.79@@26.565099726991402,11.13 ± 2.06 / 51.34 ± 3.02@@11.130953199220237,60.13 ± 0.69 / 53.78 ± 0.70@@60.13219931195097,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900
<a href='https://huggingface.co/KennethEnevoldsen/dfm-sentence-encoder-small'>KennethEnevoldsen/dfm-sentence-encoder-small</a>,🔍,2.75@@2.75,21878146.0,96105.0,128.0,✓,✗,40.54 ± 1.23 / 60.37 ± 0.98@@40.53915250999037,61.47 ± 2.67 / 57.02 ± 2.06@@61.47013671937756,25.25 ± 11.39 / 59.16 ± 8.11@@25.248334236327096,21.56 ± 1.91 / 18.53 ± 1.56@@21.56475633019735,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://huggingface.co/microsoft/Phi-3-mini-4k-instruct'>microsoft/Phi-3-mini-4k-instruct (few-shot)</a>,📝,2.77@@2.77,3821079552.0,32064.0,4096.0,✓,✗,42.60 ± 1.06 / 61.52 ± 0.75@@42.598257553600746,41.37 ± 2.50 / 24.64 ± 2.50@@41.373630718412464,6.52 ± 1.34 / 45.01 ± 2.64@@6.519271048417144,57.75 ± 0.64 / 50.57 ± 1.03@@57.75074479431803,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/Qwen/Qwen1.5-4B-Chat'>Qwen/Qwen1.5-4B-Chat (few-shot)</a>,📝,2.77@@2.77,3950369280.0,151936.0,32768.0,✗,✗,42.04 ± 1.42 / 60.76 ± 1.41@@42.038961134882314,35.96 ± 2.61 / 28.58 ± 2.58@@35.95587069587734,8.65 ± 1.52 / 49.56 ± 3.60@@8.649975795750278,59.73 ± 0.86 / 53.68 ± 0.94@@59.72676927573254,10.0.1@@100001,12.5.2@@120502,12.1.0@@120100,12.5.2@@120502
"<a href='https://huggingface.co/merge-crew/da-sv-dare-ties-density-0.3'>merge-crew/da-sv-dare-ties-density-0.3 (few-shot, val)</a>",🧠,2.79@@2.79,7241732096.0,32000.0,32768.0,✓,✓,48.49 ± 2.41 / 63.06 ± 1.91@@48.49494611841166,30.16 ± 4.47 / 25.03 ± 3.01@@30.157673736059948,5.52 ± 4.66 / 38.81 ± 4.27@@5.524073906541192,57.22 ± 1.44 / 52.44 ± 1.32@@57.22067903988491,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
<a href='https://huggingface.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B (few-shot)</a>,🧠,2.79@@2.79,14030361600.0,131072.0,4096.0,✓,✗,49.29 ± 1.60 / 61.53 ± 2.98@@49.29255309069844,26.19 ± 4.10 / 18.08 ± 2.12@@26.192584326312346,5.90 ± 2.21 / 42.02 ± 3.29@@5.899243409423902,60.34 ± 0.55 / 55.18 ± 0.41@@60.344849254042266,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct (few-shot)</a>,📝,2.80@@2.80,8414105600.0,131072.0,8192.0,✓,✗,47.95 ± 1.37 / 64.82 ± 0.89@@47.95204919534145,49.01 ± 1.94 / 29.13 ± 2.09@@49.008430203559236,32.89 ± 1.40 / 66.18 ± 0.64@@32.889801464770756,17.81 ± 0.42 / 0.00 ± 0.00@@17.805638360757523,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
<a href='https://huggingface.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf (few-shot)</a>,📝,2.80@@2.80,6738417664.0,32000.0,4096.0,✓,✗,39.01 ± 1.60 / 57.44 ± 1.34@@39.00647824486411,37.86 ± 2.50 / 25.63 ± 1.47@@37.86176623048154,12.58 ± 2.34 / 53.44 ± 3.46@@12.584245150502788,56.81 ± 0.76 / 48.87 ± 1.13@@56.814984233906856,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2 (few-shot)</a>,📝,2.80@@2.80,7241732096.0,32000.0,32768.0,✗,✗,44.90 ± 2.35 / 62.72 ± 2.33@@44.89660441396101,41.15 ± 2.13 / 26.30 ± 1.55@@41.15135371857847,23.17 ± 1.80 / 58.47 ± 1.91@@23.17178691810838,37.49 ± 2.21 / 18.91 ± 2.90@@37.493973581891694,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/timpal0l/Mistral-7B-v0.1-flashback-v2-instruct'>timpal0l/Mistral-7B-v0.1-flashback-v2-instruct (few-shot)</a>,📝,2.81@@2.81,7241732096.0,32000.0,32768.0,✓,✗,40.65 ± 2.10 / 57.47 ± 2.56@@40.64663894649693,37.02 ± 5.66 / 27.64 ± 3.92@@37.015602964525726,7.48 ± 2.51 / 46.56 ± 4.52@@7.482169238641282,59.07 ± 0.65 / 52.71 ± 0.70@@59.072573727404986,12.3.2@@120302,12.5.2@@120502,12.3.2@@120302,12.4.0@@120400
<a href='https://huggingface.co/KBLab/megatron-bert-base-swedish-cased-600k'>KBLab/megatron-bert-base-swedish-cased-600k</a>,🔍,2.82@@2.82,135357824.0,64128.0,512.0,✓,✗,37.16 ± 2.13 / 57.58 ± 1.58@@37.160115779395504,54.21 ± 2.29 / 51.26 ± 1.87@@54.21073002892254,10.92 ± 1.96 / 53.36 ± 2.06@@10.915352122769557,38.67 ± 2.67 / 33.15 ± 2.45@@38.67182981744396,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/flax-community/swe-roberta-wiki-oscar'>flax-community/swe-roberta-wiki-oscar</a>,🔍,2.83@@2.83,124057346.0,50265.0,512.0,✓,✗,36.66 ± 1.27 / 57.48 ± 0.82@@36.66404028573927,55.98 ± 2.24 / 52.41 ± 1.98@@55.98075529158588,22.69 ± 5.37 / 59.46 ± 3.21@@22.68547242989186,29.08 ± 1.74 / 24.81 ± 1.85@@29.077872894494124,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://huggingface.co/infly/OpenCoder-8B-Instruct'>infly/OpenCoder-8B-Instruct (few-shot)</a>,📝,2.83@@2.83,7771262976.0,96640.0,8192.0,✓,✗,38.83 ± 1.52 / 58.64 ± 1.69@@38.83417953800577,39.31 ± 2.06 / 24.68 ± 2.26@@39.30985218571003,10.27 ± 1.52 / 48.34 ± 3.12@@10.271233123318524,53.68 ± 0.62 / 43.79 ± 1.31@@53.68017900921171,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/meta-llama/Llama-2-7b-hf'>meta-llama/Llama-2-7b-hf (few-shot)</a>,📝,2.84@@2.84,6738417664.0,32000.0,4096.0,✓,✗,43.91 ± 1.94 / 61.54 ± 2.33@@43.91075928438298,31.77 ± 3.29 / 22.31 ± 2.29@@31.767186875501245,0.31 ± 0.61 / 33.43 ± 0.23@@0.3105226808793754,63.54 ± 0.66 / 58.44 ± 0.83@@63.544680115747994,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.5.1@@120501
<a href='https://huggingface.co/NorwAI/NorwAI-Mistral-7B'>NorwAI/NorwAI-Mistral-7B (few-shot)</a>,🧠,2.86@@2.86,7536586752.0,67993.0,4096.0,✓,✗,48.39 ± 0.66 / 64.51 ± 1.38@@48.38961494472434,21.47 ± 3.87 / 16.98 ± 3.19@@21.471078773493367,12.46 ± 2.22 / 52.33 ± 3.21@@12.46192732048093,58.49 ± 1.58 / 52.51 ± 1.57@@58.490508062443304,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/norallm/normistral-7b-warm'>norallm/normistral-7b-warm (few-shot)</a>,🧠,2.88@@2.88,7248023552.0,32768.0,2048.0,✓,✗,40.51 ± 1.75 / 55.84 ± 2.46@@40.51425447506355,37.80 ± 2.75 / 24.74 ± 2.30@@37.80341435512914,3.35 ± 1.84 / 44.60 ± 4.67@@3.3545342047675746,55.58 ± 1.57 / 49.08 ± 1.74@@55.582941060426876,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000
<a href='https://huggingface.co/Qwen/Qwen1.5-4B'>Qwen/Qwen1.5-4B (few-shot)</a>,📝,2.89@@2.89,3950369280.0,151936.0,32768.0,✓,✗,39.62 ± 2.39 / 56.09 ± 2.89@@39.61652219671029,32.28 ± 3.16 / 23.24 ± 3.51@@32.27784622362128,5.38 ± 2.18 / 36.31 ± 1.96@@5.3752113468960605,60.63 ± 0.75 / 54.16 ± 0.89@@60.63348856977376,10.0.1@@100001,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/neuralmagic/Sparse-Llama-3.1-8B-2of4'>neuralmagic/Sparse-Llama-3.1-8B-2of4 (few-shot)</a>,🧠,2.89@@2.89,8030261248.0,128256.0,131072.0,✓,✗,37.08 ± 2.51 / 54.37 ± 2.72@@37.084728118545165,27.60 ± 3.21 / 25.68 ± 2.70@@27.5964286294584,10.84 ± 2.11 / 49.05 ± 4.51@@10.837765515165936,63.61 ± 0.83 / 58.67 ± 0.97@@63.61366942951961,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200
<a href='https://huggingface.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (few-shot)</a>,📝,2.90@@2.90,999885952.0,262144.0,32768.0,✓,✗,43.06 ± 2.10 / 58.77 ± 2.74@@43.05916596711057,32.34 ± 1.70 / 30.10 ± 1.38@@32.3362958152921,10.19 ± 2.44 / 50.59 ± 3.74@@10.187527314514892,48.76 ± 0.83 / 40.16 ± 0.87@@48.7598413677532,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://huggingface.co/NorwAI/NorwAI-Llama2-7B'>NorwAI/NorwAI-Llama2-7B (few-shot)</a>,🧠,2.92@@2.92,7033270272.0,67993.0,4000.0,✓,✗,45.89 ± 2.13 / 63.12 ± 1.98@@45.891429076977566,16.72 ± 2.23 / 15.96 ± 2.08@@16.720303159644292,11.25 ± 2.33 / 51.88 ± 2.35@@11.247680945214608,59.30 ± 0.66 / 53.17 ± 0.79@@59.29950708688891,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct (few-shot)</a>,📝,2.95@@2.95,3374295552.0,49155.0,4096.0,✓,✗,36.24 ± 2.50 / 54.87 ± 2.93@@36.242274692581,37.50 ± 1.86 / 26.98 ± 2.35@@37.49729539906146,4.92 ± 1.58 / 46.50 ± 4.17@@4.924476956828282,55.81 ± 0.31 / 49.26 ± 0.57@@55.80837378007025,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/KBLab/bert-base-swedish-cased-new'>KBLab/bert-base-swedish-cased-new</a>,🔍,2.96@@2.96,135259392.0,64000.0,512.0,✓,✗,35.51 ± 2.27 / 55.63 ± 2.20@@35.50894713095848,55.08 ± 2.15 / 52.64 ± 1.52@@55.07867498070647,10.58 ± 5.92 / 49.95 ± 5.91@@10.582513091743987,31.23 ± 1.46 / 26.29 ± 1.50@@31.229805382809662,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://huggingface.co/tiiuae/falcon-11B'>tiiuae/falcon-11B (few-shot)</a>,📝,2.97@@2.97,11102822400.0,65024.0,8192.0,✓,✗,50.89 ± 1.37 / 64.28 ± 1.72@@50.88763016901019,43.01 ± 2.19 / 30.38 ± 1.86@@43.00920267424138,16.94 ± 2.49 / 41.82 ± 2.55@@16.9449263662479,19.94 ± 4.05 / 7.54 ± 4.14@@19.9398609536577,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-20b'>AI-Sweden-Models/gpt-sw3-20b (few-shot)</a>,🧠,2.98@@2.98,20918423552.0,64000.0,2048.0,✓,✗,33.08 ± 4.83 / 44.20 ± 5.71@@33.0807953349296,27.71 ± 2.95 / 18.26 ± 1.89@@27.7133933935882,12.35 ± 2.37 / 48.32 ± 4.86@@12.346608923942197,60.16 ± 0.52 / 53.38 ± 0.71@@60.156048616763925,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k (few-shot)</a>,🧠,2.99@@2.99,3482503680.0,49152.0,2048.0,✓,✗,34.95 ± 1.95 / 51.85 ± 2.45@@34.94673197660317,36.44 ± 2.66 / 27.94 ± 2.17@@36.4408325987487,7.12 ± 2.51 / 47.73 ± 6.14@@7.115876255457879,51.61 ± 1.02 / 45.72 ± 0.93@@51.61176476155934,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://huggingface.co/HPLT/gpt-33b-nordic-prerelease'>HPLT/gpt-33b-nordic-prerelease (few-shot)</a>,🧠,2.99@@2.99,33119034368.0,131072.0,4128.0,✓,✗,44.70 ± 1.80 / 60.56 ± 2.77@@44.70004559940309,25.35 ± 3.59 / 17.77 ± 2.25@@25.354726871270405,1.43 ± 1.60 / 34.16 ± 1.04@@1.4345738501493455,58.32 ± 0.75 / 52.29 ± 0.96@@58.3229066247488,12.9.1@@120901,12.9.1@@120901,12.10.0@@121000,12.10.0@@121000
<a href='https://huggingface.co/DDSC/roberta-base-danish'>DDSC/roberta-base-danish</a>,🔍,3.00@@3.00,124697947.0,50265.0,514.0,✓,✗,36.81 ± 6.79 / 56.71 ± 5.65@@36.80525028985878,58.80 ± 2.46 / 54.66 ± 1.99@@58.7951609558669,2.14 ± 2.85 / 49.91 ± 1.85@@2.13985533879567,31.33 ± 1.35 / 27.23 ± 1.33@@31.327940412058172,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://huggingface.co/KBLab/bert-base-swedish-cased'>KBLab/bert-base-swedish-cased</a>,🔍,3.00@@3.00,125333397.0,50325.0,512.0,✓,✗,31.61 ± 1.67 / 53.61 ± 1.36@@31.60790890478137,52.14 ± 1.86 / 49.64 ± 1.47@@52.14291416141443,17.88 ± 6.18 / 57.31 ± 3.75@@17.88289601996374,29.96 ± 0.74 / 25.46 ± 0.81@@29.9565104269777,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
