model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,swerec,suc3,scala_sv,scandiqa_sv,swedn,mmlu_sv,hellaswag_sv,swerec_version,suc3_version,scala_sv_version,scandiqa_sv_version,swedn_version,mmlu_sv_version,hellaswag_sv_version
<a href='https://huggingface.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama (few-shot)</a>,🧠,2.89@@2.89,7799574528.0,100096.0,4096.0,✓,✗,78.45 ± 0.73 / 76.07 ± 1.12@@78.44918643504352,42.59 ± 2.32 / 40.71 ± 2.43@@42.59427548545049,9.68 ± 2.50 / 48.32 ± 5.26@@9.676364002868267,57.95 ± 0.85 / 51.91 ± 0.87@@57.950933365583936,64.96 ± 0.29 / 17.74 ± 0.50@@64.96422951749992,1.39 ± 0.79 / 22.71 ± 0.91@@1.392895552009123,-1.11 ± 0.81 / 24.77 ± 0.52@@-1.111879536193682,15.0.0.dev0@@150000,15.0.0.dev0@@150000,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/norallm/normistral-7b-warm-instruct'>norallm/normistral-7b-warm-instruct (few-shot)</a>,📝,2.90@@2.90,,32768.0,2048.0,✓,✗,63.64 ± 3.74 / 65.08 ± 2.46@@63.636530347590046,51.45 ± 3.13 / 26.49 ± 3.00@@51.44960128059065,5.80 ± 1.74 / 51.04 ± 1.54@@5.798951571442875,57.09 ± 0.92 / 48.95 ± 1.00@@57.08550925350464,62.18 ± 0.57 / 16.32 ± 0.33@@62.17617708862235,4.88 ± 0.59 / 25.13 ± 0.54@@4.877872638796872,4.63 ± 1.09 / 27.29 ± 1.02@@4.63351424675902,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601
<a href='https://huggingface.co/MaLA-LM/emma-500-llama2-7b'>MaLA-LM/emma-500-llama2-7b (few-shot)</a>,🧠,2.91@@2.91,6738415616.0,32000.0,4096.0,✓,✗,77.40 ± 1.30 / 76.89 ± 1.52@@77.39816391906137,42.26 ± 3.40 / 39.53 ± 3.03@@42.26379897339451,1.33 ± 1.18 / 33.82 ± 0.53@@1.3339568091153882,63.57 ± 0.65 / 56.94 ± 0.68@@63.569519071701315,55.94 ± 1.10 / 13.29 ± 0.34@@55.942333926359424,10.56 ± 1.14 / 31.45 ± 0.92@@10.560131616450025,5.03 ± 1.36 / 28.41 ± 0.76@@5.033941353554764,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B (few-shot)</a>,📝,2.92@@2.92,7615616512.0,152064.0,4096.0,✓,✗,70.93 ± 0.89 / 72.53 ± 0.67@@70.92560143194852,39.19 ± 3.56 / 26.40 ± 4.34@@39.18811727276395,15.27 ± 1.60 / 54.76 ± 3.30@@15.272218385234765,38.64 ± 7.88 / 26.50 ± 10.16@@38.63782456449665,59.32 ± 1.40 / 13.59 ± 0.96@@59.32316022721352,26.13 ± 1.41 / 43.57 ± 1.14@@26.130592795488145,7.38 ± 2.53 / 29.48 ± 1.60@@7.379301962590663,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct (few-shot)</a>,📝,2.93@@2.93,20066993152.0,49152.0,8192.0,✓,✗,64.33 ± 1.82 / 67.43 ± 1.12@@64.32686349144574,53.18 ± 2.43 / 33.69 ± 4.31@@53.176713924918154,7.01 ± 1.62 / 51.48 ± 1.85@@7.009923848788621,52.76 ± 0.63 / 46.39 ± 0.85@@52.76091166864681,61.35 ± 0.33 / 14.73 ± 0.65@@61.35255329791107,8.97 ± 0.52 / 29.73 ± 0.60@@8.967356537345617,4.33 ± 0.79 / 27.51 ± 0.41@@4.327467688291995,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://huggingface.co/microsoft/Phi-3-mini-128k-instruct'>microsoft/Phi-3-mini-128k-instruct (few-shot)</a>,📝,2.93@@2.93,3821079552.0,32064.0,131072.0,✓,✗,51.53 ± 6.32 / 62.14 ± 3.43@@51.528829562619435,42.36 ± 1.67 / 21.33 ± 2.90@@42.36199335658696,3.11 ± 1.60 / 47.93 ± 2.93@@3.113490550135345,57.21 ± 0.95 / 51.11 ± 0.96@@57.20896863313192,59.28 ± 0.86 / 15.52 ± 0.64@@59.27753336072783,22.99 ± 1.08 / 42.27 ± 0.81@@22.99433010187975,20.19 ± 0.99 / 40.11 ± 0.71@@20.18585125961748,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.9.1@@120901,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000
<a href='https://huggingface.co/NorwAI/NorwAI-Llama2-7B'>NorwAI/NorwAI-Llama2-7B (few-shot)</a>,🧠,2.94@@2.94,7033270272.0,67993.0,4096.0,✓,✗,79.36 ± 1.35 / 76.34 ± 3.44@@79.3573048268907,24.98 ± 2.04 / 25.50 ± 1.92@@24.98393069574295,5.75 ± 2.23 / 41.27 ± 4.75@@5.745682599900528,60.74 ± 0.65 / 54.74 ± 0.84@@60.740392030992645,64.60 ± 1.09 / 18.36 ± 0.56@@64.60094268724788,3.83 ± 1.03 / 26.46 ± 0.77@@3.8310165536947873,4.40 ± 1.42 / 28.14 ± 1.05@@4.397323736440192,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B@1000B (few-shot)</a>,🧠,2.94@@2.94,33119034368.0,131072.0,4099.0,✓,✗,77.68 ± 1.11 / 78.86 ± 0.93@@77.68344577443912,42.35 ± 1.51 / 28.31 ± 3.87@@42.35315670632196,8.08 ± 1.69 / 50.52 ± 2.25@@8.084031053389864,60.34 ± 1.10 / 54.57 ± 1.25@@60.33936605613536,58.30 ± 1.94 / 14.29 ± 0.83@@58.300555535533924,1.73 ± 1.04 / 24.98 ± 0.69@@1.7315460326387873,-0.32 ± 1.25 / 25.53 ± 0.82@@-0.32417593294690394,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900
<a href='https://huggingface.co/four-two-labs/lynx-micro'>four-two-labs/lynx-micro (few-shot)</a>,📝,2.94@@2.94,2506172416.0,256000.0,8192.0,✗,✗,78.58 ± 0.58 / 78.27 ± 0.76@@78.58300678297722,69.19 ± 1.07 / 65.74 ± 0.83@@69.19158606193031,3.67 ± 1.25 / 38.32 ± 1.78@@3.667205242638109,13.47 ± 0.24 / 0.00 ± 0.00@@13.467381883842998,62.85 ± 0.08 / 13.81 ± 0.08@@62.84631798378542,10.04 ± 0.77 / 32.09 ± 0.57@@10.041965484204445,15.70 ± 1.32 / 36.30 ± 1.03@@15.701047450518807,14.1.2@@140102,14.1.1@@140101,14.1.2@@140102,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101,14.1.1@@140101
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-20b'>AI-Sweden-Models/gpt-sw3-20b (few-shot)</a>,🧠,2.95@@2.95,20918423552.0,64000.0,2048.0,✓,✗,79.12 ± 1.56 / 79.29 ± 1.53@@79.12356773481687,30.44 ± 3.18 / 20.24 ± 2.36@@30.43840998339478,12.09 ± 3.01 / 48.66 ± 3.76@@12.094738940488178,59.95 ± 0.62 / 53.32 ± 0.72@@59.948289237099345,59.51 ± 5.94 / 16.38 ± 1.62@@59.50535109586781,3.15 ± 0.80 / 27.43 ± 0.91@@3.1497157179511195,2.77 ± 1.26 / 26.43 ± 0.84@@2.7689576731637864,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-6.7b-v2'>AI-Sweden-Models/gpt-sw3-6.7b-v2 (few-shot)</a>,🧠,2.96@@2.96,7111057408.0,64000.0,2048.0,✓,✗,77.47 ± 1.36 / 78.60 ± 1.25@@77.46995299814905,28.73 ± 3.63 / 20.43 ± 3.72@@28.73158331930035,8.78 ± 2.01 / 42.28 ± 3.17@@8.779046977863008,56.51 ± 0.79 / 50.57 ± 0.94@@56.514593156278764,62.41 ± 0.85 / 16.45 ± 0.64@@62.40562205610332,5.23 ± 1.02 / 28.63 ± 0.82@@5.233862074847114,5.39 ± 0.81 / 28.86 ± 0.60@@5.38733176656951,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.5.1@@120501,11.0.0@@110000,9.2.0@@90200,9.2.0@@90200
<a href='https://huggingface.co/tiiuae/Falcon3-3B-Instruct'>tiiuae/Falcon3-3B-Instruct (few-shot)</a>,📝,2.99@@2.99,3227655168.0,131072.0,32768.0,✓,✗,58.09 ± 1.64 / 61.72 ± 1.27@@58.09294873465278,51.87 ± 2.38 / 28.15 ± 4.78@@51.865287806072416,5.61 ± 1.64 / 41.71 ± 2.47@@5.60718808054967,48.38 ± 0.92 / 41.97 ± 1.11@@48.37928500448598,61.33 ± 0.29 / 15.93 ± 0.52@@61.332339941582184,11.45 ± 0.84 / 33.63 ± 0.59@@11.445379782327251,6.99 ± 1.14 / 30.00 ± 0.94@@6.986662045393954,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300
<a href='https://huggingface.co/norallm/normistral-7b-warm'>norallm/normistral-7b-warm (few-shot)</a>,🧠,3.00@@3.00,7248023552.0,32768.0,2048.0,✓,✗,76.09 ± 1.23 / 74.78 ± 1.97@@76.08870049025391,48.78 ± 5.08 / 26.81 ± 3.42@@48.77872648764412,2.53 ± 2.80 / 47.37 ± 2.29@@2.534863128233815,55.09 ± 0.85 / 48.93 ± 0.97@@55.093440167285245,57.49 ± 2.27 / 16.17 ± 0.78@@57.48557361192071,1.28 ± 1.28 / 23.12 ± 0.63@@1.2767131041741515,1.27 ± 0.61 / 25.74 ± 0.70@@1.2737445542367396,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000
<a href='https://huggingface.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4 (few-shot)</a>,📝,3.00@@3.00,7452725248.0,250680.0,4096.0,✗,✗,51.80 ± 4.28 / 57.15 ± 4.66@@51.803647680190636,35.02 ± 2.08 / 17.87 ± 0.89@@35.017342464518116,6.15 ± 0.86 / 36.62 ± 0.84@@6.153171523793891,60.00 ± 0.48 / 50.85 ± 0.74@@59.996763161023445,65.68 ± 0.10 / 16.49 ± 0.10@@65.68032970943023,10.11 ± 1.07 / 28.11 ± 0.93@@10.109791780177313,8.76 ± 1.73 / 27.81 ± 1.22@@8.763273889793352,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004,14.0.4@@140004
<a href='https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct (few-shot)</a>,📝,3.00@@3.00,1235814400.0,128256.0,131073.0,✓,✗,71.86 ± 2.01 / 71.15 ± 2.16@@71.85677183314058,41.60 ± 2.74 / 37.22 ± 3.26@@41.60044900283547,3.72 ± 1.40 / 48.04 ± 1.96@@3.724655176682047,52.90 ± 1.42 / 43.57 ± 1.35@@52.896644056100456,56.69 ± 0.79 / 13.27 ± 0.37@@56.694769234309206,14.64 ± 0.91 / 35.56 ± 0.80@@14.644531418383416,3.10 ± 0.87 / 26.60 ± 0.68@@3.1044753386324593,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000
<a href='https://huggingface.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct (few-shot)</a>,📝,3.01@@3.01,7241748480.0,32002.0,4096.0,✗,✗,74.26 ± 1.17 / 76.81 ± 0.91@@74.25756178540685,46.69 ± 1.83 / 28.92 ± 3.48@@46.69396514600844,6.92 ± 1.93 / 40.23 ± 3.02@@6.924348184533392,25.99 ± 0.47 / 0.02 ± 0.02@@25.987958443359965,64.61 ± 0.19 / 17.53 ± 0.14@@64.61466297478182,14.49 ± 1.21 / 34.53 ± 1.12@@14.487376388082431,6.13 ± 1.58 / 28.95 ± 0.92@@6.129424136613997,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://huggingface.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct (few-shot)</a>,📝,3.01@@3.01,3374295552.0,49155.0,4096.0,✓,✗,64.28 ± 2.26 / 67.84 ± 1.46@@64.27996816508129,41.39 ± 1.80 / 29.15 ± 3.84@@41.387637686180604,4.75 ± 0.97 / 49.68 ± 2.17@@4.752294711783005,55.94 ± 0.89 / 49.20 ± 0.94@@55.941306144271756,61.67 ± 1.95 / 15.79 ± 0.83@@61.673033675760955,8.42 ± 0.80 / 28.26 ± 0.69@@8.420636080550041,3.57 ± 1.55 / 27.34 ± 1.20@@3.5657625488567684,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-20b-instruct'>AI-Sweden-Models/gpt-sw3-20b-instruct (few-shot)</a>,📝,3.04@@3.04,20918423552.0,64000.0,2048.0,✓,✗,68.23 ± 3.81 / 71.17 ± 3.07@@68.23117470872226,15.70 ± 1.54 / 14.65 ± 1.52@@15.703408501629589,12.39 ± 1.39 / 50.99 ± 3.37@@12.390517614229697,60.86 ± 0.77 / 52.04 ± 0.97@@60.855199116724506,65.44 ± 0.22 / 19.75 ± 0.32@@65.44000667985529,6.86 ± 0.91 / 29.83 ± 1.12@@6.864478266145333,6.92 ± 0.75 / 28.96 ± 0.67@@6.920277095000558,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301,9.3.1@@90301
<a href='https://huggingface.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B (few-shot)</a>,🧠,3.05@@3.05,14030361600.0,131072.0,4096.0,✓,✗,78.88 ± 0.48 / 76.79 ± 1.42@@78.87891493137104,26.76 ± 5.39 / 15.55 ± 2.35@@26.76070473218376,4.48 ± 1.27 / 47.82 ± 2.45@@4.478638769117891,58.42 ± 1.48 / 53.46 ± 1.56@@58.42463077960048,61.64 ± 0.86 / 14.29 ± 0.42@@61.64033933113387,0.87 ± 1.14 / 24.55 ± 0.99@@0.8662884698213987,0.61 ± 0.70 / 25.53 ± 0.44@@0.6078174848872957,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b (few-shot)</a>,📝,3.05@@3.05,1000000000.0,262144.0,32768.0,✓,✗,69.66 ± 1.96 / 72.58 ± 1.44@@69.66451586753126,29.97 ± 3.21 / 23.78 ± 2.25@@29.97247540423097,7.45 ± 1.16 / 53.00 ± 0.78@@7.452263560009538,46.45 ± 0.92 / 37.60 ± 0.92@@46.44685721486641,64.34 ± 0.14 / 14.85 ± 0.18@@64.33593833789928,5.26 ± 1.16 / 27.85 ± 0.76@@5.263929972903025,4.69 ± 0.84 / 27.58 ± 0.89@@4.6917589932536545,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://huggingface.co/stabilityai/stablelm-2-1_6b'>stabilityai/stablelm-2-1_6b (few-shot)</a>,🧠,3.05@@3.05,1644515328.0,100352.0,4096.0,✓,✗,75.15 ± 0.55 / 61.46 ± 0.82@@75.14855053359224,38.00 ± 4.39 / 29.74 ± 5.04@@38.0023372762656,1.04 ± 2.08 / 34.49 ± 1.17@@1.0439197475666424,58.91 ± 0.32 / 53.11 ± 0.53@@58.905191133409474,55.63 ± 1.02 / 13.45 ± 0.61@@55.63106801630055,8.72 ± 0.93 / 30.92 ± 0.72@@8.724293872387983,3.19 ± 0.62 / 26.88 ± 0.62@@3.1905067847619644,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008
<a href='https://huggingface.co/google/gemma-3-1b-it'>google/gemma-3-1b-it (few-shot)</a>,📝,3.05@@3.05,999885952.0,262144.0,32768.0,✓,✗,69.69 ± 2.40 / 69.68 ± 1.74@@69.69291126486216,31.87 ± 3.40 / 31.56 ± 3.30@@31.867777215028546,6.14 ± 1.52 / 50.80 ± 1.55@@6.139647725192508,48.07 ± 1.03 / 39.11 ± 1.12@@48.074301405788844,64.51 ± 0.08 / 14.80 ± 0.10@@64.51242132199695,4.41 ± 1.40 / 27.44 ± 1.00@@4.411398955363229,5.13 ± 1.37 / 28.19 ± 1.10@@5.133568480599875,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://huggingface.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning (few-shot)</a>,🤔,3.06@@3.06,14659507200.0,100352.0,32768.0,✓,✗,36.26 ± 7.39 / 49.46 ± 5.09@@36.25929038940537,45.99 ± 5.82 / 42.16 ± 5.14@@45.994388860005145,-5.11 ± 3.73 / 46.96 ± 2.00@@-5.105544863910223,62.53 ± 0.73 / 54.33 ± 0.70@@62.530645954477926,58.83 ± 4.02 / 10.79 ± 1.75@@58.83075223231572,10.81 ± 4.84 / 26.27 ± 3.43@@10.809912899665212,26.86 ± 2.97 / 40.41 ± 2.69@@26.856210682241166,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://huggingface.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B (few-shot)</a>,🤔,3.07@@3.07,751632384.0,151936.0,40960.0,✓,✗,66.37 ± 1.26 / 63.81 ± 1.67@@66.37228100360504,21.18 ± 1.28 / 18.19 ± 1.41@@21.180404667048062,7.64 ± 1.40 / 46.66 ± 1.17@@7.637460900083122,45.19 ± 0.87 / 36.16 ± 0.98@@45.18910378832349,63.63 ± 0.20 / 15.35 ± 0.24@@63.62533109881042,15.09 ± 1.45 / 34.48 ± 1.25@@15.090116682638666,8.37 ± 1.10 / 30.94 ± 0.69@@8.374629784955143,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701,15.7.1@@150701
<a href='https://huggingface.co/HPLT/gpt-33b-nordic-prerelease'>HPLT/gpt-33b-nordic-prerelease (few-shot)</a>,🧠,3.11@@3.11,33119034368.0,131072.0,4099.0,✓,✗,76.75 ± 1.17 / 74.66 ± 1.20@@76.75314049675816,33.61 ± 6.02 / 22.18 ± 4.32@@33.612762260114664,1.66 ± 1.36 / 33.60 ± 0.30@@1.6556852600985932,56.96 ± 1.73 / 50.68 ± 1.94@@56.95565124090861,56.37 ± 1.71 / 12.78 ± 0.63@@56.372116987622576,-0.31 ± 0.91 / 25.20 ± 0.62@@-0.3085861388949343,-0.04 ± 0.62 / 25.05 ± 0.50@@-0.04473725617575534,12.9.1@@120901,12.9.1@@120901,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000,12.10.0@@121000
<a href='https://huggingface.co/google/gemma-2b'>google/gemma-2b (few-shot)</a>,🧠,3.11@@3.11,2506172416.0,256000.0,8192.0,✓,✗,75.69 ± 0.69 / 64.18 ± 2.19@@75.69198387895545,14.67 ± 4.71 / 14.85 ± 3.77@@14.668446315169895,3.82 ± 1.23 / 44.81 ± 3.55@@3.8166881542486797,57.35 ± 0.82 / 51.73 ± 0.88@@57.348640652722,59.72 ± 1.46 / 15.26 ± 0.64@@59.715338251553476,10.98 ± 0.98 / 31.92 ± 0.80@@10.978943079182567,4.24 ± 0.47 / 27.53 ± 0.44@@4.238308731637027,15.0.0@@150000,12.5.2@@120502,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100,12.1.0@@120100
<a href='https://huggingface.co/ibm-granite/granite-7b-base'>ibm-granite/granite-7b-base (few-shot)</a>,🧠,3.12@@3.12,6738415616.0,32000.0,2048.0,✓,✗,72.00 ± 1.15 / 69.12 ± 2.00@@71.99990359758786,33.34 ± 3.41 / 30.50 ± 3.44@@33.337962170622475,0.25 ± 1.72 / 43.46 ± 3.96@@0.2525212183510104,57.96 ± 0.98 / 52.53 ± 1.03@@57.95547361617982,52.86 ± 1.75 / 11.38 ± 0.57@@52.856479121401215,11.71 ± 0.83 / 32.71 ± 0.95@@11.71014858700807,0.81 ± 0.88 / 25.27 ± 0.59@@0.8134546945740135,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.8@@121008,12.10.8@@121008,12.10.8@@121008
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct'>AI-Sweden-Models/gpt-sw3-6.7b-v2-instruct (few-shot)</a>,📝,3.13@@3.13,7111057408.0,64000.0,2048.0,✓,✗,56.60 ± 3.37 / 62.73 ± 3.61@@56.60350213650148,14.58 ± 1.30 / 14.79 ± 1.27@@14.576681056950664,10.92 ± 1.83 / 52.63 ± 2.98@@10.915136464124398,57.90 ± 0.53 / 50.18 ± 0.54@@57.90325281090378,64.89 ± 0.15 / 18.79 ± 0.22@@64.887065908988,6.16 ± 0.81 / 28.35 ± 0.97@@6.163704201030997,10.90 ± 0.86 / 32.01 ± 0.54@@10.900874769530699,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,12.4.0@@120400,12.4.0@@120400,9.2.0@@90200,9.3.1@@90301
<a href='https://huggingface.co/HPLT/gpt-13b-nordic-prerelease'>HPLT/gpt-13b-nordic-prerelease (few-shot)</a>,🧠,3.13@@3.13,14030361600.0,131072.0,4096.0,✓,✗,70.41 ± 6.38 / 69.68 ± 5.25@@70.40702431663568,36.13 ± 4.95 / 25.36 ± 4.31@@36.12532153431557,1.29 ± 2.40 / 47.89 ± 1.75@@1.2902203991113061,52.27 ± 2.14 / 47.76 ± 2.04@@52.26530564652573,59.37 ± 1.45 / 13.41 ± 0.47@@59.36641346794204,0.06 ± 0.81 / 25.55 ± 0.38@@0.05958091076195708,1.62 ± 0.78 / 26.15 ± 0.56@@1.6198699857389611,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B (few-shot)</a>,🧠,3.15@@3.15,,128000.0,4096.0,✓,✗,70.53 ± 1.45 / 58.70 ± 0.87@@70.52718265787271,29.89 ± 4.36 / 29.48 ± 3.84@@29.89050033725823,1.19 ± 1.24 / 37.08 ± 3.18@@1.1873474569054976,52.77 ± 0.47 / 46.61 ± 0.63@@52.76999232617501,61.75 ± 0.85 / 14.89 ± 0.99@@61.75304655203945,-0.24 ± 0.91 / 21.83 ± 0.66@@-0.23593593623726294,1.09 ± 1.24 / 25.23 ± 0.60@@1.0870154025789007,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct (few-shot)</a>,📝,3.15@@3.15,1656850432.0,128000.0,4096.0,✓,✗,71.24 ± 2.17 / 59.38 ± 1.52@@71.23779717419511,27.51 ± 2.63 / 25.21 ± 2.01@@27.50827769401365,1.39 ± 1.73 / 47.77 ± 2.30@@1.39182045454432,52.73 ± 0.68 / 45.33 ± 1.01@@52.73126814406747,63.23 ± 0.51 / 17.40 ± 0.45@@63.22844925583922,3.39 ± 0.48 / 25.11 ± 0.71@@3.3885470288815465,0.54 ± 0.72 / 25.45 ± 0.45@@0.5402804463010549,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,13.1.0@@130100,13.1.0@@130100,13.1.0@@130100
<a href='https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B (few-shot)</a>,🧠,3.16@@3.16,1711376384.0,49152.0,8192.0,✓,✗,65.42 ± 1.61 / 70.55 ± 1.15@@65.42100559944953,34.38 ± 3.12 / 26.03 ± 2.73@@34.384632054991265,4.15 ± 1.81 / 48.93 ± 1.65@@4.145499684987217,50.73 ± 1.07 / 45.01 ± 1.15@@50.72820193938865,58.16 ± 1.50 / 12.22 ± 1.28@@58.163773027190466,4.84 ± 1.13 / 25.68 ± 1.00@@4.83642523434313,1.79 ± 0.98 / 25.59 ± 0.69@@1.7856281413376167,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100
<a href='https://huggingface.co/NorwAI/NorwAI-Mistral-7B-instruct'>NorwAI/NorwAI-Mistral-7B-instruct (few-shot)</a>,📝,3.16@@3.16,7536586752.0,67993.0,4096.0,✗,✗,77.76 ± 0.75 / 67.99 ± 2.31@@77.75563539221118,20.97 ± 2.51 / 16.21 ± 2.03@@20.96620904998377,2.35 ± 1.63 / 38.48 ± 1.53@@2.3468593036064167,38.84 ± 1.85 / 28.65 ± 2.11@@38.83961983360793,63.75 ± 0.70 / 17.94 ± 0.22@@63.74615604188876,9.17 ± 0.61 / 31.89 ± 0.41@@9.17316179650096,3.98 ± 1.37 / 26.35 ± 1.13@@3.979856498465302,12.10.4@@121004,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005,12.10.5@@121005
<a href='https://huggingface.co/AI-Sweden-Models/gpt-sw3-1.3b-instruct'>AI-Sweden-Models/gpt-sw3-1.3b-instruct (few-shot)</a>,📝,3.16@@3.16,1444532224.0,64000.0,2048.0,✓,✗,73.34 ± 1.34 / 68.41 ± 2.31@@73.33669713821287,19.04 ± 2.67 / 19.98 ± 2.64@@19.037242400876114,2.90 ± 1.74 / 44.43 ± 4.49@@2.8954015047163257,54.69 ± 0.56 / 47.45 ± 0.58@@54.68844733736057,63.33 ± 0.86 / 17.11 ± 0.61@@63.334477469325066,0.65 ± 1.12 / 25.94 ± 0.76@@0.6522121469627057,-0.18 ± 0.36 / 24.70 ± 0.60@@-0.1841087783123274,9.3.1@@90301,12.5.2@@120502,12.1.0@@120100,12.4.0@@120400,12.4.0@@120400,12.1.0@@120100,12.1.0@@120100
